"사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명","기준일"
"점프스쿨","서울특별시 양천구 목동 808-1번지 경원빌딩 지상6층 ","서울특별시 양천구 목동로 234 지상6층 (목동 경원빌딩)","20150619","운영중","","","","","26.4","158050","","","2015","N","26.4","휴게음식점","키즈카페","","","188024.8824","447776.8362","3140000-104-2015-00086","영업","2018-04-25"
"바오밥키즈카페","서울특별시 관악구 봉천동 14-4번지 ","서울특별시 관악구 청림2길 2 2층 (봉천동)","20160614","운영중","","","","","79.31","151803","","상수도전용","2016","N","79.31","휴게음식점","키즈카페","","","196347.285","443185.76","3200000-104-2016-00105","영업","2018-04-25"
"쑥쑥팡팡","서울특별시 양천구 신월동 20-28번지 세진아파트상가 2층 204호","서울특별시 양천구 월정로46길 11 2층 204호 (신월동 세진아파트상가)","20151207","운영중","","","","","23.1","158822","","","2015","N","23.1","휴게음식점","키즈카페","","02-2605-7942","185253.8337","449061.2832","3140000-104-2015-00198","영업","2018-04-25"
"키즈스타판다캣","서울특별시 양천구 목동 916번지 현대백화점 목동점 5층(목동동로 293) ","서울특별시 양천구 목동동로 257 (목동현대백화점 목동점 5층(목동동로 293))","20090217","운영중","","","","","42.9","158050","","","","","","휴게음식점","키즈카페","","02-2163-1560","189005.1392","447530.1143","3140000-104-2009-00011","영업","2018-04-25"
"올포유 키즈카페","서울특별시 강서구 마곡동 348-3번지 외 1필지 (지상 3층) ","서울특별시 강서구 양천로30길 103 3층 (마곡동 가양 1동)","20170417","운영중","","","","","45.58","157210","","상수도전용","2017","N","45.58","휴게음식점","키즈카페","","","184346.3162","452133.8211","3150000-104-2017-00111","영업","2018-04-25"
"키블리","서울특별시 도봉구 창동 826번지 103동 401호","서울특별시 도봉구 도봉로136가길 73 103동 4층 401호 (창동)","20170619","운영중","","","","","61","132904","","","2017","N","61","휴게음식점","키즈카페","","02-905-2484","203777.1968","461780.619","3090000-104-2017-00045","영업","2018-04-25"
"까페 이튼","서울특별시 서대문구 북가좌동 377-3번지 지하1층 ","서울특별시 서대문구 거북골로 191 지하1층 (북가좌동)","20160420","운영중","","","","","50","120816","","상수도전용","2016","N","50","휴게음식점","키즈카페","","02-302-0720","191997.2649","453154.1466","3120000-104-2016-00061","영업","2018-04-25"
"꿈노리","서울특별시 중랑구 중화동 288-27번지 ","서울특별시 중랑구 동일로 778 2층 (중화동)","20170315","운영중","","","","","59.4","131877","","상수도전용","2017","N","59.4","휴게음식점","키즈카페","","02-491-4027","207084.8556","455586.5092","3060000-104-2017-00026","영업","2018-04-25"
"리틀비틀","서울특별시 강북구 수유동 188-26번지 ","서울특별시 강북구 노해로 70 5층 (수유동)","20170406","운영중","","","","","36.3","142878","","상수도전용","2017","N","36.3","휴게음식점","키즈카페","","","202000.6311","460245.9181","3080000-104-2017-00029","영업","2018-04-25"
"히어로 코딩파크 은평1호점","서울특별시 은평구 녹번동 117-44번지 지하1층 ","서울특별시 은평구 통일로 687 지하1층 (녹번동)","20170414","운영중","","","","","33","122831","","","2017","N","33","휴게음식점","키즈카페","","","194009.254","456441.7054","3110000-104-2017-00071","영업","2018-04-25"
