date,price,volume
1999-05-04,70.38,22320900
1999-05-05,69.13,7565700
1999-05-06,67.94,2905700
1999-05-07,74.13,4862300
1999-05-10,70.69,2589400
1999-05-11,70.63,1839800
1999-05-12,73.5,2659300
1999-05-13,74.25,1142900
1999-05-14,70.19,2058400
1999-05-17,68.63,2075000
1999-05-18,68.63,1407100
1999-05-19,69.31,727400
1999-05-20,68.38,520800
1999-05-21,67.5,936200
1999-05-24,65.31,1493000
1999-05-25,64.5,1662400
1999-05-26,66.06,1602900
1999-05-27,67.75,1220500
1999-05-28,67.94,901900
1999-06-01,64.19,953900
1999-06-02,63.25,2204300
1999-06-03,63.63,852600
1999-06-04,65.38,1357400
1999-06-07,65.94,891900
1999-06-08,63.75,571700
1999-06-09,65.5,611400
1999-06-10,63.38,664200
1999-06-11,62.94,969300
1999-06-14,61.25,821100
1999-06-15,62.75,831700
1999-06-16,65.25,690300
1999-06-17,65,955700
1999-06-18,64.81,613900
1999-06-21,69.5,1811000
1999-06-22,68,1165900
1999-06-23,65,1351700
1999-06-24,65.06,1408900
1999-06-25,66.25,1111500
1999-06-28,66.56,784600
1999-06-29,67.75,629800
1999-06-30,72.25,2127600
1999-07-01,70.81,813600
1999-07-02,70.94,536900
1999-07-06,70.5,747600
1999-07-07,68,648800
1999-07-08,67.25,424400
1999-07-09,67.25,312700
1999-07-12,68.38,547700
1999-07-13,67.88,969600
1999-07-14,67.63,888200
1999-07-15,67.94,864700
1999-07-16,68.06,476700
1999-07-19,69.44,646100
1999-07-20,68.13,886100
1999-07-21,67.88,626100
1999-07-22,66.5,579500
1999-07-23,64.06,767200
1999-07-26,63.25,749500
1999-07-27,65.5,592200
1999-07-28,66.06,584800
1999-07-29,65,646000
1999-07-30,64.31,629600
1999-08-02,62.81,566400
1999-08-03,60.81,837700
1999-08-04,60,1281600
1999-08-05,59.25,1539900
1999-08-06,56.25,1308500
1999-08-09,55.81,1347500
1999-08-10,57,1817400
1999-08-11,61.5,1369200
1999-08-12,60.69,832800
1999-08-13,63.13,557400
1999-08-16,62.88,762600
1999-08-17,63,936900
1999-08-18,62.31,819300
1999-08-19,61.69,624600
1999-08-20,62.44,439600
1999-08-23,63.63,837200
1999-08-24,63.44,894200
1999-08-25,64,449900
1999-08-26,62.75,378400
1999-08-27,61.56,265300
1999-08-30,59.31,438100
1999-08-31,59.81,496600
1999-09-01,60.31,560100
1999-09-02,59.25,727600
1999-09-03,63.13,754900
1999-09-07,62.5,813600
1999-09-08,62.56,732100
1999-09-09,61.75,448800
1999-09-10,63.09,636300
1999-09-13,62.13,250700
1999-09-14,59.38,1160600
1999-09-15,58.31,970200
1999-09-16,57.69,753200
1999-09-17,60.06,1116700
1999-09-20,60.75,721800
1999-09-21,59.13,2369100
1999-09-22,61.31,1534700
1999-09-23,60.81,889800
1999-09-24,61.94,831400
1999-09-27,61.56,624700
1999-09-28,62.25,819900
1999-09-29,61.44,800900
1999-09-30,61,1113400
1999-10-01,59.19,793300
1999-10-04,61.69,739400
1999-10-05,62.25,1040500
1999-10-06,64,944200
1999-10-07,63.19,366300
1999-10-08,63.94,488800
1999-10-11,63.69,229300
1999-10-12,62.94,644200
1999-10-13,61,393000
1999-10-14,62,1016000
1999-10-15,59.75,1088000
1999-10-18,59.25,732700
1999-10-19,60.38,1082700
1999-10-20,61.75,499800
1999-10-21,61.81,281900
1999-10-22,65.5,1644700
1999-10-25,64,665000
1999-10-26,61.81,650200
1999-10-27,64.38,1412500
1999-10-28,72,3983400
1999-10-29,71,2490500
1999-11-01,69.38,949300
1999-11-02,69.75,543000
1999-11-03,68.75,924000
1999-11-04,70.13,570400
