"Date","CityHall","Stadium"
"2010-01-01","28684","12237"
"2010-01-02","47297","14201"
"2010-01-03","31925","17971"
"2010-01-04","126925","36785"
"2010-01-05","126474","33404"
"2010-01-06","116874","33442"
"2010-01-07","113057","30490"
"2010-01-08","116225","35145"
"2010-01-09","61964","21713"
"2010-01-10","39133","18243"
"2010-01-11","114778","30050"
"2010-01-12","115543","28635"
"2010-01-13","111227","32905"
"2010-01-14","112512","27211"
"2010-01-15","122046","33546"
"2010-01-16","63883","26246"
"2010-01-17","40988","19960"
"2010-01-18","114284","29147"
"2010-01-19","121946","29611"
"2010-01-20","116873","28244"
"2010-01-21","119125","31843"
"2010-01-22","115954","29371"
"2010-01-23","64885","27138"
"2010-01-24","42852","16454"
"2010-01-25","112857","28486"
"2010-01-26","119156","28146"
"2010-01-27","117872","28946"
"2010-01-28","120755","31651"
"2010-01-29","118498","29383"
"2010-01-30","63319","24363"
"2010-01-31","37853","21666"
"2010-02-01","111110","28207"
"2010-02-02","115669","29609"
"2010-02-03","113277","28938"
"2010-02-04","113889","29020"
"2010-02-05","116105","30042"
"2010-02-06","57888","24274"
"2010-02-07","37554","19541"
"2010-02-08","111437","28209"
"2010-02-09","116095","28017"
"2010-02-10","117064","30515"
"2010-02-11","115130","30941"
"2010-02-12","101456","30143"
"2010-02-13","22219","10168"
"2010-02-14","19745","9705"
"2010-02-15","25370","13184"
"2010-02-16","99276","24241"
"2010-02-17","116715","31334"
"2010-02-18","120268","38479"
"2010-02-19","122365","40241"
"2010-02-20","66097","25027"
"2010-02-21","39711","22100"
"2010-02-22","116128","30035"
"2010-02-23","123260","38478"
"2010-02-24","120379","31917"
"2010-02-25","115230","28643"
"2010-02-26","121432","28871"
"2010-02-27","64142","25426"
"2010-02-28","44722","33015"
"2010-03-01","34049","16852"
"2010-03-02","113351","31490"
"2010-03-03","113162","30859"
"2010-03-04","112206","29913"
"2010-03-05","117882","30499"
"2010-03-06","61306","30413"
"2010-03-07","46458","22231"
"2010-03-08","113465","30289"
"2010-03-09","118180","31588"
"2010-03-10","117742","30729"
"2010-03-11","114091","30784"
"2010-03-12","118619","31279"
"2010-03-13","66401","36412"
"2010-03-14","41915","33653"
"2010-03-15","110284","34077"
"2010-03-16","117858","32409"
"2010-03-17","116320","38085"
"2010-03-18","114698","31309"
"2010-03-19","116624","34236"
"2010-03-20","59661","24784"
"2010-03-21","42343","47038"
"2010-03-22","111439","29530"
"2010-03-23","116404","37041"
"2010-03-24","116960","30576"
"2010-03-25","117738","30052"
"2010-03-26","123167","31522"
"2010-03-27","73879","50479"
"2010-03-28","42349","58352"
"2010-03-29","113776","32585"
"2010-03-30","118583","40602"
"2010-03-31","114848","29451"
"2010-04-01","115091","34160"
"2010-04-02","122931","37071"
"2010-04-03","71911","34147"
"2010-04-04","46960","30695"
"2010-04-05","112016","29837"
"2010-04-06","115766","37112"
"2010-04-07","115369","37873"
"2010-04-08","115352","39090"
"2010-04-09","117433","56272"
"2010-04-10","57453","54142"
"2010-04-11","36359","45188"
"2010-04-12","113131","30077"
"2010-04-13","113615","35996"
"2010-04-14","115067","35421"
"2010-04-15","111765","37076"
