date,price,volume
1972-08-25,33,4900
1972-08-28,32.88,1900
1972-08-29,32.5,3800
1972-08-30,32.5,800
1972-08-31,32,1700
1972-09-01,32.25,500
1972-09-05,32,1100
1972-09-06,32.25,500
1972-09-07,32.12,2300
1972-09-08,31.88,1300
1972-09-11,32.12,1800
1972-09-12,32.12,1200
1972-09-13,32.12,300
1972-09-14,32.37,2500
1972-09-15,32.12,1000
1972-09-18,32.25,2100
1972-09-19,32,6100
1972-09-20,31.75,100
1972-09-21,30.75,2800
1972-09-22,29.62,1700
1972-09-25,28.75,1900
1972-09-26,28.63,1400
1972-09-27,28,1300
1972-09-28,28.75,2800
1972-09-29,29.12,500
1972-10-02,30.5,3200
1972-10-03,31,1000
1972-10-04,31.63,3000
1972-10-05,30.75,2700
1972-10-06,29.5,19100
1972-10-09,30,2500
1972-10-10,30,0
1972-10-11,30.13,900
1972-10-12,29.88,700
1972-10-13,29.88,100
1972-10-16,29.12,1300
1972-10-17,29.62,4800
1972-10-18,31.75,15200
1972-10-19,31.88,20700
1972-10-20,31.63,100
1972-10-23,31.5,900
1972-10-24,31.63,200
1972-10-25,31,2400
1972-10-26,31.25,100
1972-10-27,31.38,400
1972-10-30,31.25,2600
1972-10-31,32.25,1400
1972-11-01,33.75,4400
1972-11-02,34,1400
1972-11-03,33.87,2800
1972-11-06,33.87,300
1972-11-08,34.25,1400
1972-11-09,34.25,1600
1972-11-10,34.25,0
1972-11-13,34.12,800
1972-11-14,33.75,300
1972-11-15,33.62,1100
1972-11-16,33.75,1200
1972-11-17,33.62,2700
1972-11-20,33.5,300
1972-11-21,34.25,1100
1972-11-22,34.25,900
1972-11-24,34.12,700
1972-11-27,35,12200
1972-11-28,34,6800
1972-11-29,32.5,7000
1972-11-30,32.25,400
1972-12-01,32.75,2900
1972-12-04,34,1900
1972-12-05,34.5,2600
1972-12-06,34.5,800
1972-12-07,34.25,1300
1972-12-08,33.75,19100
1972-12-11,34.12,700
1972-12-12,33.75,400
1972-12-13,34,200
1972-12-14,34.12,3200
1972-12-15,34.38,3000
1972-12-18,34.25,3000
1972-12-19,34.38,300
1972-12-20,34.5,400
1972-12-21,34.25,17700
1972-12-22,34.5,2400
1972-12-26,34,1200
1972-12-27,34.25,1500
1972-12-29,34.5,600
1973-01-02,34.63,900
1973-01-03,34.5,1500
1973-01-04,34.38,3400
1973-01-05,34.25,3100
1973-01-08,34.12,1300
1973-01-09,33.5,7000
1973-01-10,32.62,2500
1973-01-11,33.38,2600
1973-01-12,33.25,3800
1973-01-15,32.88,700
1973-01-16,33.5,6800
1973-01-17,33.62,1300
1973-01-18,33.62,0
1973-01-19,33,1200
1973-01-22,32.62,600
1973-01-23,31.5,3000
1973-01-24,32,3100
1973-01-26,31.75,2200
1973-01-29,30.62,1900
1973-01-30,30.13,2500
1973-01-31,29.62,1000
1973-02-01,30.25,6100
1973-02-02,30.25,5000
1973-02-05,30.25,200
1973-02-06,30.13,2300
1973-02-07,30.5,6500
1973-02-08,30,1700
1973-02-09,30,2000
1973-02-12,31,4400
1973-02-13,31,1600
1973-02-14,31,2000
1973-02-15,31.5,1900
1973-02-16,32.25,2600
1973-02-20,32.75,11400
1973-02-21,32.62,2600
1973-02-22,31.75,26600
1973-02-23,31.88,4200
1973-02-26,31.63,1600
1973-02-27,31.38,2800
1973-02-28,31,5000
1973-03-01,30.75,200
1973-03-02,30.5,5100
1973-03-05,29.75,16300
1973-03-06,28.38,11700
1973-03-07,27.63,10000
1973-03-08,29,6400
1973-03-09,28.63,5000
1973-03-12,28.75,1100
1973-03-13,27.87,2900
1973-03-14,28.5,3500
1973-03-15,28,1400
1973-03-16,27.75,2200
1973-03-19,27.13,1000
1973-03-20,26.5,300
1973-03-21,26,4300
1973-03-22,21.63,8400
1973-03-23,21.87,10800
1973-03-26,22,2700
1973-03-27,22.88,9500
1973-03-28,22.5,1700
1973-03-29,22.63,100
1973-03-30,22.75,2700
1973-04-02,22.88,3000
1973-04-03,22.88,300
1973-04-04,22.88,1000
1973-04-05,21.75,2800
1973-04-06,21.75,300
1973-04-09,21.75,100
1973-04-10,21.87,2600
1973-04-11,21.75,900
1973-04-12,21.75,300
1973-04-13,21.75,600
1973-04-16,21.38,1800
1973-04-17,21.38,0
1973-04-18,21.25,1500
1973-04-19,21.87,1400
1973-04-23,22.5,5600
1973-04-24,23.13,1400
1973-04-25,23.13,2800
1973-04-26,23,5600
1973-04-27,22.5,2200
1973-04-30,22.37,1000
1973-05-01,22.25,500
1973-05-02,22.12,100
1973-05-03,22.12,400
1973-05-04,22.5,2300
1973-05-07,22.25,100
1973-05-08,22.25,0
1973-05-09,22.5,900
1973-05-10,22.5,800
1973-05-11,22.25,200
1973-05-14,21.38,6000
1973-05-15,21.25,1500
1973-05-16,21.25,0
1973-05-17,21.5,3600
1973-05-18,21.63,400
1973-05-21,21.38,2400
1973-05-22,21.38,3900
1973-05-23,21,1000
1973-05-24,20.75,3500
1973-05-25,21.5,7100
1973-05-29,22.63,1200
1973-05-30,22,300
1973-05-31,22,400
1973-06-01,22,0
1973-06-04,22,0
1973-06-05,21.75,100
1973-06-06,20,7700
1973-06-07,19.88,2900
1973-06-08,19.88,100
1973-06-11,19.62,200
1973-06-12,18.75,2400
1973-06-13,17.5,97600
1973-06-14,15.38,4800
1973-06-15,15,2800
1973-06-18,15.12,2200
1973-06-19,15.63,1800
1973-06-20,17.25,3100
1973-06-21,17.5,2800
1973-06-22,17.13,1200
1973-06-25,16.5,500
1973-06-26,14.75,33800
1973-06-27,15.12,3400
1973-06-28,15,1500
1973-06-29,15.12,2300
1973-07-02,15.63,2600
1973-07-03,16.12,1200
1973-07-05,16.12,0
1973-07-06,16.12,1000
1973-07-09,15.63,1800
1973-07-10,15.5,300
1973-07-11,15.25,800
1973-07-12,15,3800
1973-07-13,15,1900
1973-07-16,16.75,1700
1973-07-17,17,600
1973-07-18,18,1700
1973-07-19,19,800
1973-07-20,20.25,2800
1973-07-23,21.38,3200
1973-07-24,24,5500
1973-07-25,25.75,5300
1973-07-26,24.75,3100
1973-07-27,22.37,3800
1973-07-30,23.25,500
1973-07-31,24,2400
1973-08-01,22.75,2400
1973-08-02,22.37,2200
1973-08-03,22.12,1100
1973-08-06,22,1300
1973-08-07,21.75,800
1973-08-08,20.75,1100
1973-08-09,21,1200
1973-08-10,21.63,2600
1973-08-13,21.63,0
1973-08-14,20.75,1800
1973-08-15,20.75,0
1973-08-16,21,900
1973-08-17,21.5,1300
1973-08-20,20.5,1000
1973-08-21,19.88,4000
1973-08-22,19.88,700
1973-08-23,20,800
1973-08-24,21,4800
1973-08-27,21.38,200
1973-08-28,21.5,1000
1973-08-29,21.5,1400
1973-08-30,20.87,700
1973-08-31,21.13,1000
1973-09-04,21.75,800
1973-09-05,21.75,0
1973-09-06,21.75,1200
1973-09-07,21.5,5100
1973-09-10,21.5,0
1973-09-11,21,6100
1973-09-12,19.62,2400
1973-09-13,19.37,100
1973-09-14,19.62,900
1973-09-17,20,2400
1973-09-18,21,2600
1973-09-19,22.25,7400
1973-09-20,23,5300
1973-09-21,23,0
1973-09-24,22.37,1100
1973-09-25,22.5,500
1973-09-26,22.75,2500
1973-09-27,22.5,4700
1973-09-28,22.5,0
1973-10-01,22.37,600
1973-10-02,22.12,700
1973-10-03,22.25,900
1973-10-04,22.5,500
1973-10-05,22.88,1600
1973-10-08,22.75,600
1973-10-09,22.75,200
1973-10-10,22.63,1800
1973-10-11,22.5,1100
1973-10-12,23.5,2600
1973-10-15,23.5,200
1973-10-16,23,500
1973-10-17,23,0
1973-10-18,23,1200
1973-10-19,23,900
1973-10-22,22.75,600
1973-10-23,23.25,3500
1973-10-24,23.25,0
1973-10-25,23,700
1973-10-26,23,3600
1973-10-29,23.5,1200
1973-10-30,24,1900
1973-10-31,23.5,1000
1973-11-01,23,400
1973-11-02,22.75,100
1973-11-05,21.63,1100
1973-11-06,21.25,3300
1973-11-07,20.87,500
1973-11-08,20.87,2900
1973-11-09,20.37,1100
1973-11-12,19.75,2900
1973-11-13,18.5,1900
1973-11-14,18.5,1300
1973-11-15,18.63,4100
1973-11-16,18.63,1700
1973-11-19,17.62,1200
1973-11-20,16,3100
1973-11-21,15.63,12000
1973-11-23,15.63,7900
1973-11-26,14.25,4200
1973-11-27,15,23200
1973-11-28,15.5,6200
1973-11-29,15.63,900
1973-11-30,15.5,200
1973-12-03,14.87,1400
1973-12-04,14.75,2900
1973-12-05,14.5,1100
1973-12-06,14.87,300
1973-12-07,15.25,7500
1973-12-10,15.12,4200
1973-12-11,14.87,1700
1973-12-12,14.5,1100
1973-12-13,13.37,4100
1973-12-14,13.37,2400
1973-12-17,12.88,1100
1973-12-18,13.25,9500
1973-12-19,13.5,6100
1973-12-20,13.5,4200
1973-12-21,13.5,1400
