evaluation,coment
positive,"This movie will blow your mind and break your heart. and make you desperate to go back for more. Brave, brilliant and better than it has any right to be."
negative,This is the most bad movie i have ever seen. This movie have no plot and story. Others marvel comic movie best then Averagers infinity war.
positive,A Summer Film That IS Even Better Than The Hype.
positive,The amount of people that don't understand the movie is astonishing.
negative,Abysmal and embarrassing cinema. The outcome of dumbing down and treating the audience as morons.
positive,"I've watched infinity war four times now. Every time i watch it, i like it better than the previous times I've watched it. Truly a masterpiece"
positive,"I was so super excited to see this and being a lover of marvel movies in general, I feel it held true for most of the marvel characters."
positive,THE BEST SUPERHERO MOVIE EVER!
positive,Everything we could've hoped for
negative,"What a bad movie from marvel, it is not satisfying at all had many stars with a million place cutting off the story every 15 minutes."
positive,ABOVE MY EXPECTATION.
positive,Don't believe sad DC fanboys bad reviews.
positive,Don't Listen To These liars! This is movie of the year contender!
negative,"I felt like bored with marvel jokes. Awkward sometimes. More action, less jokes. Thats what people wanted."
positive,"Avengers: Infinity War, the best movie since LOTR!"
negative,"Go ahead you will want to see this movie, then you will regret it.  And yes you will watch it on your home system feeling mild boredom with the whole thing."
positive,"This movie has everything. I went to see this movie twice, because there's so much things happening at once, that I just needed to see it again."
positive,I would say this movie is brilliant for how everything goes down in the movie from the fight scenes to all the comedies scenes and the ending.
positive,This movie was all around great.
negative,How in the world thid movie get a rating of 9 imdb. Expected a lot but failed all my expectations. storyline is so flat things are happening too fast with different marvel character popping out in every scene.
positive,This movie will blow your mind and leave you got on your butt.
negative,"The writing was so bad. Too many characters, horrible humor and one liners. It was cringeworthy. Just a bunch of mindless fights and battles we've seen a million times before and then the cringeworthy exposition and bad acting "
positive,"If not the immortal stupidity of the actions or heroes in films, it would be a great movie"
positive,A Decade of A Masterpiece! Breathtaking and Heartbreaking.
positive,Never in my life have I loved a movie so much I needed to see it again immediately after I watched it.
positive,Absolute Perfection. Exceeds All Expectations and Blows You Away. Best Marvel Film Yet.
negative,"If you thought an Avengers instalment without the helm of Joss Whedon would be concerning, don't worry. Infinity War is a blast that shows Marvel is still on top of their game"
positive,Best MCU movie by far
positive,"Watched this yesterday, and i really didn't had any great expectations, so i was even more suprised that this was probably the best Marvel movie after Deadpool 1 i've seen. "
positive,"This movie is very good. This is what avengers is should like. The story is developed with actions, not chit chat."
negative,The story is full of cliches and non-sensical plans and most dead people surely will return soon again.
positive,It is the best movie among avengers. infact I consider it best movie of MCU
positive,"Comedy, sadness, strength, vulnerability - this film has all and more. It could have been twice as long but still kept the viewer in its grasp. I hope tempus fugit as we await the next installment!"
positive,"Best movie from MCU, so far! One of the most hearttouching movies of superheros you must see, and let you see an unexpecting ending of this movie."
positive,Amazing movie that just celebrates all the movies of Marvel from 2008 Ironman.
positive,This is everything I wanted it to be and more. Will go down as the greatest cinematic event till next year when we do it all again
negative,I hated the ending because it obviously left an open to another movie. This is stupid and I will never purchase a marvel movie again because of it.
positive,"This movie is a mind blowing as it contains marvel universe. My all expectation is about AVENGERS 4. After the tragedy, i only imagines about next "
negative,"Special effects are good but I didn't want to watch video game effects, totally not worth it."
positive,I've seen a lot and I mean A LOT of great shows and movies in my lifetime so I'm at the age where I NEVER ever watch something twice.
positive,Only one word describes this movie WOW.
positive,Antother Marvel flick and a bad one indeed. CGI is very good. Standard these days but the rest. simply unwatchable.
