Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
good,9,rent,60,30,married,no,freelance,73,129,0,0,800,846
good,17,rent,60,58,widow,no,fixed,48,131,0,0,1000,1658
bad,10,owner,36,46,married,yes,freelance,90,200,3000,0,2000,2985
good,0,rent,60,24,single,no,fixed,63,182,2500,0,900,1325
good,0,rent,36,26,single,no,fixed,46,107,0,0,310,910
good,1,owner,60,36,married,no,fixed,75,214,3500,0,650,1645
good,29,owner,60,44,married,no,fixed,75,125,10000,0,1600,1800
good,9,parents,12,27,single,no,fixed,35,80,0,0,200,1093
good,0,owner,60,32,married,no,freelance,90,107,15000,0,1200,1957
bad,0,parents,48,41,married,no,partime,90,80,0,0,1200,1468
good,6,owner,48,34,married,no,freelance,60,125,4000,0,1150,1577
good,7,owner,36,29,married,no,fixed,60,121,3000,0,650,915
good,8,owner,60,30,married,no,fixed,75,199,5000,2500,1500,1650
good,19,priv,36,37,married,no,fixed,75,170,3500,260,600,940
bad,0,other,18,21,single,yes,partime,35,50,0,0,400,500
good,0,owner,24,68,married,no,fixed,75,131,4162,0,900,1186
good,15,priv,24,52,single,no,freelance,35,330,16500,0,1500,2201
good,33,rent,24,68,married,no,freelance,65,200,5000,2000,600,1350
bad,0,ignore,48,36,married,no,partime,45,130,750,0,1100,1511
good,1,parents,60,31,single,no,fixed,35,137,0,0,1250,1253
bad,2,rent,60,25,single,no,fixed,46,107,0,0,1500,2189
good,5,owner,60,22,single,no,fixed,45,324,10000,0,1100,1159
bad,1,owner,60,45,married,no,partime,105,112,2000,500,600,1332
good,27,rent,60,41,married,no,fixed,74,140,0,0,950,1497
good,26,owner,60,51,married,no,fixed,45,143,3500,0,1350,1357
good,12,owner,36,54,married,no,fixed,60,130,4000,0,700,2100
good,19,owner,60,43,single,no,fixed,75,180,4000,0,1000,1070
good,15,owner,36,43,married,no,fixed,75,251,4000,0,1800,2557
bad,3,owner,24,23,married,no,fixed,75,85,5000,0,600,1600
bad,0,NA,48,37,single,no,NA,35,NA,NA,NA,1500,1850
good,4,owner,48,29,married,no,fixed,45,150,5000,3300,1100,1312
bad,0,owner,36,23,single,no,partime,45,122,2500,0,400,400
good,14,priv,24,51,married,no,partime,75,198,1000,0,450,650
good,10,owner,36,39,married,no,freelance,75,150,3000,0,1000,1394
good,12,parents,36,35,single,no,fixed,35,170,0,0,1100,1542
good,32,owner,24,62,married,no,freelance,45,119,8500,0,700,1200
good,10,owner,24,56,married,no,freelance,45,208,13500,0,500,1560
good,7,owner,48,32,married,no,fixed,75,115,3000,0,800,1200
bad,1,rent,54,36,married,no,fixed,70,99,0,0,950,950
good,30,owner,60,64,married,no,fixed,45,120,14000,0,1125,1300
bad,5,rent,48,31,single,no,fixed,44,90,0,0,1300,1700
good,24,owner,60,42,married,no,fixed,75,137,4000,0,900,1167
good,0,owner,60,61,widow,no,others,35,230,50000,0,950,1150
bad,0,owner,60,32,married,yes,fixed,45,142,7000,3000,1250,1566
bad,2,owner,60,43,married,no,partime,75,71,3000,0,1500,1552
good,1,parents,60,26,single,no,partime,35,120,0,0,1150,1300
good,1,owner,60,49,widow,no,freelance,35,233,15900,4500,2100,2104
good,15,owner,36,47,married,no,fixed,75,289,3500,0,1500,2154
bad,2,rent,36,27,separated,no,fixed,48,128,0,0,450,545
good,25,owner,36,52,married,no,freelance,60,150,15000,0,750,1778
good,8,owner,60,28,married,no,fixed,60,145,4000,1000,1600,1718
good,5,owner,60,31,married,no,fixed,75,90,4000,0,900,1500
good,0,rent,60,32,married,no,fixed,105,301,0,0,1200,1274
good,5,owner,36,51,married,no,freelance,75,200,2100,1200,900,1015
good,3,parents,12,37,married,no,freelance,60,150,500,0,500,1701
bad,1,rent,48,29,married,yes,freelance,85,100,0,0,1000,1345
good,7,parents,60,26,single,no,fixed,35,100,0,0,1000,1238
good,4,parents,30,27,single,no,fixed,45,100,5000,0,500,1048
good,6,owner,24,63,married,no,fixed,60,155,4000,0,600,1048
good,14,owner,24,55,married,no,fixed,90,715,5000,0,800,1324
good,3,rent,60,28,married,no,fixed,70,245,0,0,1830,2201
