고객ID,이탈여부,총 매출액,방문빈도,1회 평균매출액,할인권 사용 횟수,총 할인 금액,고객등급,구매유형,클레임접수여부,구매 카테고리 수,거주지역,성별,고객 나이대,거래기간,할인민감여부,멤버쉽 프로그램 가입전 만족도,멤버쉽 프로그램 가입후 만족도,Recency,Frequency,Monetary,상품 만족도,매장 만족도,서비스 만족도,상품 품질,상품 다양성,가격 적절성,상품 진열 위치,상품 설명 표시,매장 청결성,공간 편의성,시야 확보성,음향 적절성,안내 표지판 설명,친절성,신속성,책임성,정확성,전문성,D1,D2,D3
1,0,4007080,17,235711,1,5445,1,4,0,6,6,1,4,1079,0,5,7,7,3,4,6,5,6,7,7,6,7,6,6,7,6,6,6,6,6,6,6,6,0,0,1
2,1,3168400,14,226314,22,350995,2,4,0,4,4,1,1,537,0,2,3,2,3,3,2,5,4,6,7,6,6,.,7,7,6,6,6,5,3,6,6,6,0,0,1
3,0,2680780,18,148932,6,186045,1,4,1,6,6,1,6,1080,0,6,6,7,3,2,4,6,7,6,7,6,7,.,6,6,6,6,6,7,7,6,6,7,0,0,1
4,0,5946600,17,349800,1,5195,1,4,1,5,5,1,6,1019,0,3,5,7,3,5,3,5,5,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,0,0,1
5,0,13745950,73,188301,9,246350,1,2,0,6,6,0,6,1086,0,5,6,7,6,7,5,6,6,5,6,6,5,6,5,6,6,6,5,5,6,6,5,6,1,0,0
6,0,3323610,26,127831,20,348145,1,4,0,5,5,1,5,1089,0,7,4,7,4,3,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,6,6,5,0,0,1
7,0,2369340,6,394890,30,380945,1,1,0,6,6,1,6,874,0,5,5,7,2,1,5,2,3,5,4,5,5,5,4,5,6,4,6,5,4,5,5,4,0,0,0
8,0,12717240,109,116672,4,354735,1,2,1,6,6,1,4,1093,0,3,3,7,7,6,6,7,7,6,6,6,6,6,6,6,5,7,6,6,5,6,6,6,1,0,0
9,0,6899100,17,405829,17,364895,1,4,0,6,6,1,3,1027,0,2,4,7,3,5,4,3,6,6,6,7,6,6,6,6,5,6,6,6,6,6,5,6,0,0,1
10,0,4461040,19,234792,27,357645,1,4,0,5,5,1,6,986,0,6,7,6,3,4,6,6,7,7,7,6,7,6,6,7,6,6,6,6,6,6,6,6,0,0,1
11,0,7080050,88,80455,23,379900,1,2,0,5,5,0,4,1093,0,5,5,7,6,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,0
12,0,5987220,39,153518,22,350050,1,2,0,7,7,1,4,1074,0,2,4,7,5,5,4,4,6,6,5,5,6,5,5,6,5,6,5,5,6,5,5,5,1,0,0
13,0,5134200,12,427850,1,4500,2,4,0,4,4,1,5,1058,0,5,6,7,3,4,4,5,5,7,6,6,6,5,6,7,5,6,6,6,7,6,6,6,0,0,1
