Performance,Finishing,Passing,Defending,Tackling,Dribbling,Shooting,Stamina,Speed,Balance,Vision,Diving,Handling
73,50,70,71,74,69,74,79,74,64,39,14,14
66,54,70,44,57,68,78,82,59,63,70,6,6
73,73,69,26,21,79,81,78,74,72,60,8,8
78,71,80,34,29,81,73,54,65,74,82,8,8
68,12,21,10,13,12,30,32,49,60,38,67,67
90,73,95,57,56,90,65,78,73,86,93,6,6
92,93,89,21,55,79,91,88,84,71,91,5,5
69,21,63,71,74,65,73,67,63,56,55,6,6
81,72,86,49,51,83,79,67,58,89,86,6,6
76,66,82,70,76,72,76,76,66,62,78,5,5
73,61,80,52,45,74,73,66,41,68,80,10,10
81,74,83,26,45,84,73,51,65,72,84,10,10
81,65,89,58,36,75,88,49,55,82,93,7,7
74,36,74,77,72,53,77,66,55,70,68,10,10
79,62,84,60,44,66,79,83,62,64,87,10,10
77,80,76,27,16,79,80,53,69,77,79,10,10
63,57,63,56,62,64,82,67,56,59,57,10,10
75,31,73,80,74,54,71,63,43,60,46,13,13
70,71,60,29,21,61,76,56,62,45,64,6,6
62,17,17,13,13,11,13,55,45,42,35,64,64
71,13,21,11,11,14,47,55,48,36,24,71,71
62,33,45,63,60,42,30,70,60,54,50,10,10
60,14,33,63,60,15,27,73,82,60,52,6,6
62,36,60,68,67,57,46,66,69,72,54,13,13
61,34,33,54,56,36,24,34,40,58,46,5,5
65,67,55,44,41,54,72,63,34,57,57,5,5
59,12,35,11,18,12,23,46,38,30,32,57,57
65,22,51,63,66,29,44,72,54,63,53,7,7
74,56,80,66,71,68,69,77,62,87,75,5,5
80,10,23,16,19,12,28,59,46,43,34,76,76
70,51,72,74,74,60,68,53,53,71,53,15,15
71,38,68,74,72,52,68,55,52,71,43,11,11
63,62,64,55,54,61,63,75,62,85,63,11,11
57,36,61,61,51,59,55,61,67,76,55,11,11
60,58,62,48,44,60,53,71,58,64,69,9,9
63,61,65,58,71,60,68,64,63,74,62,8,8
62,22,51,61,63,31,26,68,53,54,58,9,9
64,55,72,72,64,69,58,73,33,93,67,11,11
70,19,24,8,15,17,27,44,35,41,32,70,70
82,34,86,75,79,85,76,77,77,88,80,7,7
73,67,84,49,47,72,72,60,55,74,85,11,11
82,22,72,84,85,54,48,30,52,51,55,8,8
81,86,74,28,41,76,80,62,84,76,69,11,11
74,12,25,12,14,14,20,51,47,57,34,72,72
80,45,72,76,84,56,72,62,55,51,74,14,14
87,10,40,12,9,17,48,54,49,56,30,89,89
73,52,76,64,74,66,80,75,55,55,73,15,15
80,13,35,14,14,14,38,56,56,56,31,84,84
72,66,73,63,57,74,82,67,67,57,72,9,9
79,80,92,18,24,84,90,55,32,60,88,6,6
80,65,88,41,51,86,84,32,48,75,88,14,14
82,16,36,12,14,13,50,43,49,43,33,84,84
67,57,66,66,64,65,73,74,65,64,58,11,11
65,61,58,34,32,67,77,61,73,81,68,10,10
74,32,51,79,71,34,51,47,53,58,58,13,13
63,63,53,15,14,57,64,71,71,77,58,15,15
73,43,70,76,72,47,56,55,46,60,59,6,6
73,70,74,36,38,72,71,34,74,92,76,5,5
76,39,67,80,75,49,70,64,55,45,46,13,13
79,79,73,26,14,83,80,53,76,51,76,10,10
70,50,76,30,45,70,65,52,58,70,75,14,14
64,54,69,60,64,67,73,53,40,57,69,15,15
76,76,72,22,21,85,56,50,74,90,74,15,15
63,23,64,66,65,63,64,63,41,71,54,10,10
62,35,73,45,48,61,47,81,56,72,57,8,8
68,21,59,72,65,48,59,46,32,44,46,13,13
63,47,68,52,50,62,58,71,64,71,67,8,8
70,54,71,66,74,73,60,74,78,64,68,10,10
67,56,70,42,32,68,73,68,66,61,70,12,12
67,67,65,43,27,74,67,66,70,73,64,7,7
66,46,68,21,24,72,56,53,65,69,66,10,10
69,70,67,33,24,68,77,51,61,68,74,14,14
82,9,38,17,13,11,12,27,46,27,34,86,86
70,65,68,68,66,70,68,80,65,74,67,8,8
80,81,75,19,22,75,85,75,76,47,75,12,12
66,43,67,63,68,62,32,66,55,70,57,14,14
70,13,26,12,13,17,34,50,50,52,33,68,68
82,11,31,11,18,12,44,56,52,36,25,84,84
69,73,61,17,19,63,68,65,73,74,69,10,10
72,74,68,12,18,76,66,54,68,69,74,14,14
62,66,56,22,18,48,68,48,54,54,58,24,24
73,78,68,41,50,64,85,70,57,49,64,10,10
59,58,57,42,39,57,56,70,72,66,56,10,10
60,61,62,32,31,60,49,82,67,86,56,6,6
74,27,70,77,72,54,57,58,65,65,52,14,14
75,62,69,59,79,68,86,88,93,84,57,11,11
71,77,63,15,23,57,76,62,52,90,65,15,15
80,13,37,13,11,12,41,53,50,63,32,85,85
