발생년월일시,발생분,주야,요일,사망자수,중상자수,경상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형,법규위반,도로형태_대분류,당사자종별_1당_대분류,당사자종별_2당_대분류
2016122320,35,야간,금,1,0,0,경기,광주시,차대사람,기타,안전운전 의무 불이행,교차로,승용차,보행자
2016122517,48,주간,일,1,0,0,서울,금천구,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016122519,5,야간,일,1,0,0,충북,진천군,차대사람,차도통행중,안전운전 의무 불이행,단일로,화물차,보행자
2016122610,40,주간,월,1,0,0,경북,경주시,차대사람,횡단중,안전운전 의무 불이행,단일로,승합차,보행자
2016122819,40,야간,수,1,0,0,경남,진주시,차대사람,횡단중,보행자 보호의무 위반,단일로,승용차,보행자
2016111207,34,주간,토,1,0,0,경남,거제시,차대사람,횡단중,안전운전 의무 불이행,단일로,건설기계,보행자
2016110919,25,야간,수,1,0,0,경기,포천시,차대사람,기타,안전운전 의무 불이행,단일로,승용차,보행자
2016111005,0,야간,목,1,0,0,인천,서구,차대사람,횡단중,보행자 보호의무 위반,단일로,승용차,보행자
2016110711,5,주간,월,1,0,0,충남,예산군,차량단독,전도전복,안전운전 의무 불이행,단일로,건설기계,
2016110818,0,야간,화,1,0,0,전남,순천시,차대사람,차도통행중,안전운전 의무 불이행,단일로,승용차,보행자
2016111302,35,야간,일,1,1,0,서울,용산구,차대사람,횡단중,안전운전 의무 불이행,단일로,이륜차,보행자
2016111318,0,야간,일,1,0,0,전남,보성군,차대사람,차도통행중,안전운전 의무 불이행,단일로,승용차,보행자
2016111915,30,주간,토,1,0,0,경기,가평군,차량단독,전도전복,안전운전 의무 불이행,단일로,농기계,
2016111206,0,주간,토,1,0,0,경기,파주시,차량단독,기타,안전운전 의무 불이행,단일로,이륜차,
2016112700,25,야간,일,1,0,0,경북,칠곡군,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016111914,20,주간,토,1,0,0,서울,중랑구,차대사람,차도통행중,안전운전 의무 불이행,단일로,승용차,보행자
2016112523,0,야간,금,1,0,0,경기,화성시,차대차,기타,안전운전 의무 불이행,교차로,승용차,승용차
2016112618,0,야간,토,1,0,2,강원,원주시,차대차,정면충돌,중앙선 침범,단일로,승용차,승용차
2016112522,15,야간,금,1,0,1,충북,음성군,차량단독,전도전복,안전운전 의무 불이행,단일로,승합차,
2016112009,15,주간,일,2,0,0,경남,합천군,차량단독,전도전복,안전운전 의무 불이행,단일로,승용차,
2016112010,20,주간,일,1,0,0,전북,순창군,차대차,측면직각충돌,안전운전 의무 불이행,단일로,원동기장치자전거,승용차
2016112012,5,주간,일,1,0,0,부산,남구,차대사람,차도통행중,안전운전 의무 불이행,단일로,화물차,보행자
2016103108,25,주간,월,1,0,0,경기,양평군,차대차,기타,안전운전 의무 불이행,단일로,승용차,자전거
2016110411,10,주간,금,1,0,3,경기,광주시,차대차,진행중 추돌,안전운전 의무 불이행,교차로,화물차,화물차
2016110505,5,야간,토,1,0,0,서울,관악구,차량단독,전도전복,안전운전 의무 불이행,단일로,승용차,
2016103010,0,주간,일,1,0,0,강원,홍천군,차량단독,전도전복,안전운전 의무 불이행,단일로,이륜차,
2016102914,55,주간,토,1,0,0,경북,경산시,차대차,정면충돌,교차로 통행방법 위반,교차로,화물차,이륜차
2016110218,25,야간,수,1,0,0,경남,거창군,차대사람,길가장자리구역통행중,안전운전 의무 불이행,단일로,화물차,보행자
2016121213,10,주간,월,1,0,0,경남,창원시(통합),차대차,측면직각충돌,중앙선 침범,교차로,화물차,화물차
2016121206,40,주간,월,1,0,0,전북,임실군,차대차,진행중 추돌,안전운전 의무 불이행,단일로,승용차,자전거
2016120819,15,야간,목,1,0,0,대전,유성구,차대사람,횡단중,보행자 보호의무 위반,단일로,승합차,보행자
2016022203,12,야간,월,1,1,0,서울,양천구,차대차,정면충돌,안전운전 의무 불이행,단일로,이륜차,승용차
2016022107,55,주간,일,1,0,0,경남,창원시(통합),차대차,측면직각충돌,신호위반,교차로,원동기장치자전거,승용차
2016022110,30,주간,일,1,0,0,강원,원주시,차대사람,차도통행중,안전운전 의무 불이행,교차로,화물차,보행자
2016022713,20,주간,토,1,2,0,부산,금정구,차량단독,공작물충돌,안전운전 의무 불이행,단일로,승용차,
2016022819,5,야간,일,1,1,0,세종,세종,차량단독,기타,안전운전 의무 불이행,단일로,승용차,
2016022817,35,주간,일,1,0,0,경북,경산시,차대차,측면직각충돌,신호위반,교차로,이륜차,승용차
2016022706,27,주간,토,1,0,0,경기,부천시,차대사람,기타,안전운전 의무 불이행,단일로,승용차,보행자
2016022713,40,주간,토,1,0,0,경북,칠곡군,차대사람,보도통행중,기타(운전자법규위반),교차로,승용차,보행자
2016021600,25,야간,화,1,0,3,인천,서구,차대차,정면충돌,중앙선 침범,고가도로위,승용차,승용차
2016021002,15,야간,수,1,0,0,서울,광진구,차량단독,공작물충돌,안전운전 의무 불이행,단일로,원동기장치자전거,
2016020713,0,주간,일,1,0,0,대구,동구,차대차,측면직각충돌,안전운전 의무 불이행,교차로,승용차,자전거
2016021607,57,주간,화,1,0,0,경남,거제시,차대사람,횡단중,보행자 보호의무 위반,교차로,화물차,보행자
2016021901,52,야간,금,1,0,0,경기,수원시,차대사람,횡단중,과속,단일로,승용차,보행자
2016021710,5,주간,수,1,2,0,전북,전주시,차량단독,공작물충돌,안전운전 의무 불이행,단일로,화물차,
2016022407,50,주간,수,1,0,1,서울,동작구,차대차,정면충돌,중앙선 침범,단일로,승용차,승용차
2016022506,0,주간,목,1,0,0,경기,안산시,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016022311,15,주간,화,1,0,0,서울,금천구,차대차,측면직각충돌,안전운전 의무 불이행,교차로,승용차,이륜차
2016022720,55,야간,토,1,0,0,제주,서귀포시,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016022719,15,야간,토,1,0,0,인천,연수구,차대사람,보도통행중,보행자 보호의무 위반,단일로,승용차,보행자
2016022614,33,주간,금,1,0,0,경기,부천시,차대사람,횡단중,보행자 보호의무 위반,교차로,승용차,보행자
2016022610,56,주간,금,1,0,0,경북,예천군,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016022503,30,야간,목,1,0,0,부산,기장군,차량단독,공작물충돌,안전운전 의무 불이행,단일로,승용차,
2016022608,35,주간,금,1,0,0,서울,강동구,차대사람,횡단중,중앙선 침범,단일로,승용차,보행자
2016030414,45,주간,금,1,0,0,서울,노원구,차대차,측면직각충돌,신호위반,교차로,승용차,이륜차
2016030419,45,야간,금,1,0,0,충북,청주시,차대사람,횡단중,신호위반,단일로,승용차,보행자
2016030811,35,주간,화,1,0,0,울산,울주군,차량단독,전도전복,안전운전 의무 불이행,교차로,승합차,
2016030709,0,주간,월,1,0,0,세종,세종,차대사람,기타,과속,단일로,화물차,보행자
2016030705,0,야간,월,1,0,0,대구,동구,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016030712,30,주간,월,1,0,0,전남,화순군,차량단독,기타,안전운전 의무 불이행,단일로,농기계,
2016030713,0,주간,월,1,0,0,서울,성동구,차대사람,횡단중,보행자 보호의무 위반,교차로,특수차,보행자
2016021223,25,야간,금,1,0,0,경북,영주시,차대사람,기타,안전운전 의무 불이행,단일로,승용차,보행자
2016020823,25,야간,월,1,1,0,경기,고양시,차량단독,전도전복,안전운전 의무 불이행,단일로,승용차,
2016021722,30,야간,수,1,1,0,울산,북구,차대차,진행중 추돌,안전운전 의무 불이행,단일로,화물차,화물차
2016021718,30,야간,수,1,0,0,전북,부안군,차대사람,차도통행중,안전운전 의무 불이행,기타/불명,승용차,보행자
2016021800,28,야간,목,1,0,0,충북,청주시,차대사람,횡단중,과속,단일로,승용차,보행자
2016021819,22,야간,목,1,2,0,충북,청주시,차량단독,전도전복,안전운전 의무 불이행,교차로,승용차,
2016021822,10,야간,목,1,2,0,경남,거제시,차대차,정면충돌,중앙선 침범,단일로,승용차,승용차
2016022417,10,주간,수,1,2,0,경기,파주시,차대차,정면충돌,중앙선 침범,단일로,승용차,건설기계
2016022915,40,주간,월,1,1,0,전남,완도군,차량단독,공작물충돌,안전운전 의무 불이행,단일로,승용차,
2016022819,10,야간,일,1,1,0,경기,평택시,차대사람,기타,안전운전 의무 불이행,단일로,승용차,보행자
2016022621,0,야간,금,1,1,0,충남,서산시,차량단독,도로이탈 추락,안전운전 의무 불이행,교차로,승용차,
2016022511,42,주간,목,1,0,0,경기,수원시,차대사람,횡단중,안전운전 의무 불이행,교차로,화물차,보행자
2016021611,0,주간,화,1,0,0,서울,마포구,차대사람,차도통행중,안전운전 의무 불이행,단일로,승합차,보행자
2016022119,45,야간,일,1,0,0,전남,순천시,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016030106,15,주간,화,1,0,0,충남,예산군,차대차,정면충돌,중앙선 침범,단일로,자전거,승합차
2016022920,10,야간,월,1,0,0,경기,평택시,차대사람,횡단중,안전운전 의무 불이행,단일로,승합차,보행자
2016030113,50,주간,화,1,0,0,서울,동대문구,차대차,기타,안전운전 의무 불이행,단일로,승용차,화물차
2016030722,40,야간,월,1,1,0,강원,원주시,차대차,진행중 추돌,안전운전 의무 불이행,단일로,승용차,승용차
2016030708,48,주간,월,1,0,0,경북,안동시,차량단독,전도전복,안전운전 의무 불이행,단일로,승용차,
2016030606,20,주간,일,1,0,0,충북,진천군,차대사람,기타,안전운전 의무 불이행,단일로,승용차,보행자
2016030619,55,야간,일,2,0,0,경북,청송군,차대차,정면충돌,중앙선 침범,단일로,승합차,화물차
2016030619,5,야간,일,2,0,0,대구,달성군,차대사람,횡단중,과속,단일로,승용차,보행자
2016030516,5,주간,토,1,3,3,전남,광양시,차대차,정면충돌,중앙선 침범,단일로,승용차,승용차
2016021403,40,야간,일,1,0,0,서울,송파구,차대사람,기타,안전운전 의무 불이행,고가도로위,승용차,보행자
2016021304,8,야간,토,1,0,1,서울,마포구,차대사람,차도통행중,안전운전 의무 불이행,단일로,승용차,보행자
2016021318,30,야간,토,1,0,0,충남,천안시,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016022219,4,야간,월,1,0,0,전북,전주시,차대사람,횡단중,안전운전 의무 불이행,단일로,승합차,보행자
2016030223,0,야간,수,1,0,0,충남,당진시,차량단독,전도전복,안전운전 의무 불이행,단일로,승용차,
2016030709,10,주간,월,1,0,0,경남,사천시,차대사람,차도통행중,안전운전 의무 불이행,단일로,승용차,보행자
2016030814,50,주간,화,1,0,0,서울,성동구,차대사람,횡단중,안전운전 의무 불이행,교차로,건설기계,보행자
2016030501,11,야간,토,1,0,0,경북,경산시,차대차,기타,안전운전 의무 불이행,단일로,승용차,승용차
2016030520,43,야간,토,1,0,0,경북,포항시,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016021515,15,주간,월,1,0,1,부산,강서구,차대차,진행중 추돌,안전운전 의무 불이행,단일로,화물차,화물차
2016021417,32,주간,일,1,1,0,서울,송파구,차대차,기타,안전운전 의무 불이행,교차로,승용차,건설기계
2016021918,45,야간,금,1,0,0,경남,양산시,차대차,측면직각충돌,안전거리 미확보,교차로,승용차,이륜차
2016021906,20,주간,금,1,0,0,전남,순천시,차대차,측면직각충돌,신호위반,교차로,이륜차,승용차
2016020920,38,야간,화,1,0,0,경남,통영시,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016020813,30,주간,월,1,3,0,경북,김천시,차량단독,공작물충돌,안전운전 의무 불이행,단일로,승용차,
2016021506,45,주간,월,1,6,3,전남,강진군,차대차,측면직각충돌,안전운전 의무 불이행,단일로,승합차,승합차
2016022320,45,야간,화,1,1,1,경남,진주시,차대차,측면직각충돌,안전거리 미확보,단일로,승용차,승용차
2016030810,0,주간,화,1,0,0,전북,부안군,차량단독,전도전복,안전운전 의무 불이행,단일로,이륜차,
2016030721,20,야간,월,1,0,0,경기,남양주시,차대차,기타,신호위반,교차로,승합차,이륜차
2016030522,29,야간,토,1,0,0,부산,북구,차대차,기타,중앙선 침범,단일로,자전거,승용차
2016030811,4,주간,화,1,0,0,전북,부안군,차대사람,횡단중,보행자 보호의무 위반,단일로,화물차,보행자
2016030411,28,주간,금,1,0,0,경북,고령군,차대사람,횡단중,안전운전 의무 불이행,단일로,이륜차,보행자
2016031114,40,주간,금,1,0,0,경남,양산시,차대사람,횡단중,안전운전 의무 불이행,교차로,화물차,보행자
2016031303,5,야간,일,2,0,0,서울,중구,차대차,측면직각충돌,신호위반,교차로,이륜차,승용차
2016031300,20,야간,일,1,0,0,대전,대덕구,차대사람,횡단중,과속,단일로,승용차,보행자
2016021421,10,야간,일,2,0,8,강원,속초시,차대차,정면충돌,중앙선 침범,교차로,승용차,승합차
2016021316,15,주간,토,1,0,0,강원,평창군,차량단독,전도전복,안전운전 의무 불이행,단일로,승용차,
2016021311,10,주간,토,1,0,0,부산,진구,차대사람,횡단중,보행자 보호의무 위반,단일로,화물차,보행자
2016022010,40,주간,토,1,3,0,대구,북구,차대사람,보도통행중,기타(운전자법규위반),단일로,승용차,보행자
2016022004,57,야간,토,1,0,0,충북,음성군,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016031307,15,주간,일,1,0,2,전북,군산시,차대차,정면충돌,중앙선 침범,단일로,화물차,화물차
2016032023,40,야간,일,1,0,0,경북,영천시,차량단독,전도전복,안전운전 의무 불이행,교차로,승용차,
2016031911,58,주간,토,1,0,0,충남,아산시,차량단독,전도전복,안전운전 의무 불이행,단일로,승용차,
2016031805,10,야간,금,1,0,0,부산,강서구,차대차,진행중 추돌,안전운전 의무 불이행,교차로,승용차,특수차
2016031717,10,주간,목,1,0,0,전남,화순군,차대차,측면직각충돌,교차로 통행방법 위반,교차로,이륜차,승용차
2016032413,40,주간,목,1,0,0,경남,창원시(통합),차대차,기타,보행자 보호의무 위반,교차로,건설기계,자전거
2016032215,30,주간,화,1,0,0,경기,화성시,차량단독,전도전복,안전운전 의무 불이행,단일로,이륜차,
2016032715,3,주간,일,1,0,1,전남,구례군,차량단독,공작물충돌,안전운전 의무 불이행,교차로,화물차,
2016032701,45,야간,일,1,1,0,대전,유성구,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016033022,0,야간,수,1,0,0,경남,창원시(통합),차대차,진행중 추돌,신호위반,교차로,원동기장치자전거,승용차
2016033119,5,야간,목,1,0,1,경기,성남시,차대차,정면충돌,안전운전 의무 불이행,단일로,승용차,승용차
2016040708,35,주간,목,1,0,1,경기,이천시,차대차,정면충돌,안전운전 의무 불이행,교차로,승용차,화물차
2016040612,28,주간,수,1,0,0,광주,남구,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016040714,40,주간,목,1,0,0,경기,포천시,차대차,기타,기타(운전자법규위반),단일로,화물차,화물차
2016040703,50,야간,목,1,0,0,경북,안동시,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016040708,40,주간,목,1,0,0,충남,보령시,차량단독,도로이탈 추락,안전운전 의무 불이행,단일로,승용차,
2016040618,20,야간,수,1,0,0,경기,화성시,차대차,측면직각충돌,안전운전 의무 불이행,단일로,화물차,원동기장치자전거
2016031120,10,야간,금,1,0,0,경남,양산시,차대차,측면직각충돌,교차로 통행방법 위반,교차로,승용차,이륜차
2016031123,25,야간,금,1,0,0,대구,남구,차대차,정면충돌,중앙선 침범,단일로,원동기장치자전거,승용차
2016031105,45,야간,금,1,0,0,서울,강남구,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016031412,40,주간,월,1,2,1,강원,양양군,차대차,진행중 추돌,과속,단일로,승합차,승용차
2016030904,50,야간,수,1,0,0,경기,수원시,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016031615,10,주간,수,1,0,0,경남,김해시,차대사람,횡단중,보행자 보호의무 위반,교차로,화물차,보행자
2016031616,30,주간,수,1,0,0,충북,청주시,차대차,측면직각충돌,안전운전 의무 불이행,단일로,승합차,자전거
2016031604,31,야간,수,1,0,0,대구,달성군,차대사람,횡단중,안전운전 의무 불이행,단일로,화물차,보행자
2016031706,10,주간,목,1,0,0,부산,금정구,차대사람,기타,안전운전 의무 불이행,단일로,승용차,보행자
2016032214,40,주간,화,1,0,0,제주,서귀포시,차대차,기타,안전운전 의무 불이행,단일로,승용차,화물차
2016032214,50,주간,화,1,0,0,전남,진도군,차대차,진행중 추돌,안전운전 의무 불이행,단일로,화물차,농기계
2016032217,50,주간,화,1,0,0,경기,고양시,차대차,기타,안전운전 의무 불이행,단일로,승합차,자전거
2016032618,39,야간,토,1,0,0,대전,동구,차대사람,횡단중,안전운전 의무 불이행,교차로,승용차,보행자
2016032510,58,주간,금,1,0,0,충북,제천시,차량단독,전도전복,안전운전 의무 불이행,단일로,승용차,
2016040106,45,주간,금,1,0,0,충남,아산시,차대차,측면직각충돌,신호위반,교차로,화물차,원동기장치자전거
2016032906,19,주간,화,1,0,0,서울,강남구,차대차,측면직각충돌,신호위반,교차로,이륜차,승용차
2016040409,10,주간,월,1,0,0,경기,여주시,차대사람,횡단중,안전운전 의무 불이행,교차로,화물차,보행자
2016040812,0,주간,금,1,1,1,전남,담양군,차대차,측면직각충돌,신호위반,교차로,이륜차,승용차
2016040705,15,야간,목,1,0,0,서울,서초구,차대사람,보도통행중,신호위반,교차로,승용차,보행자
2016040615,58,주간,수,1,0,0,울산,남구,차량단독,전도전복,안전운전 의무 불이행,단일로,이륜차,
2016031918,55,야간,토,1,0,0,충남,당진시,차대차,측면직각충돌,중앙선 침범,단일로,화물차,승용차
2016031913,5,주간,토,1,0,0,충남,서산시,차대차,정면충돌,중앙선 침범,단일로,승용차,화물차
2016032015,40,주간,일,2,0,1,경기,시흥시,차량단독,공작물충돌,안전운전 의무 불이행,단일로,화물차,
2016031722,25,야간,목,1,0,0,대구,동구,차량단독,전도전복,안전운전 의무 불이행,단일로,이륜차,
2016022609,37,주간,금,1,0,0,경기,남양주시,차대사람,횡단중,안전운전 의무 불이행,교차로,화물차,보행자
2016032401,40,야간,목,1,0,0,인천,남구,차대차,기타,안전운전 의무 불이행,교차로,원동기장치자전거,승용차
2016032300,0,야간,수,1,0,2,서울,서초구,차대차,기타,안전운전 의무 불이행,단일로,승용차,승합차
