0,This place is amazing it takes you back to the old days of life. Me and my wife stop by and ordered the beef deep and I ordered the pastrami hands down the pastrami was better. This place is road trip worthy
1,"Philippe's is famous for a reason. They have one of the original french dip sandwiches. First thing to understand is that the parking is very limited. Show up well in advance of when you want to eat. Once you get in the door, be prepared...More"
2,"Do you love French dips? Well Philippe's is the ORIGINAL French dip restaurant. This place INVENTED the French Dip decades ago and still does their customers right. If you're in downtown L.A. near Union Station, Olvera Street, or Chinatown, check it out!"
3,The quintessential L.A. dining experience. Classic French Dip sandwich (ask for a double dip) near the train station in downtown Los Angeles. Even a small selection of high end wines by the glass.
4,"YUMMMYYYY Food 5/5 We got the beef dip, dill pickles, and chips 1. They have this creamy DELICIOUS horseradish on the tables that you can put in your sandwich 2. Beef dip was so good, bread tasted fresh and was amazing 3. Smaller than expected...More"
5,"You just go to this place you get to travel back in time and have a insane lunch. Sandwich, chili, pie and a lemonade. Thatï¿½ï¿½??my order every time. And donï¿½ï¿½??forget to buy a French mustard."
6,"From the tasty, and perfectly sized ï¿½ï¿½ï¿?and reasonably priced ï¿½ï¿½ï¿?comfort food sandwiches, to the 50s-era dressed servers, to the sawdust on the floor, Philippeï¿½ï¿½??embodies the charm of old school LA without the price tag or West Side snooty attitude. You get the...More"
7,"Guess my expectation was too much, pork sandwich had a lot of fat and not too much on the flavor side. Spent $80, certainly not worth the money. Almost $10 each and not as flavorful as expected. Wonï¿½ï¿½??be making that trip again."
8,"Fun to visit, inasmuch as this is home to the original Dip. Long lines, moved along slowly. Sandwich was good, but have had other French dips that were equally as good many times. Big draw here is the history of this place. Go, if you...More"
9,"Second visit here and not disappointed. Great food, friendly service and lots of history. Worth a visit"
10,"Have dreamed of going to Philippe's since my aunt took me when I was 13. It was not a disappointment and nothing has changed!! Hit Phillipe's about 12:15 and while it was busy, the line moved pretty fast. French Dip had the same great taste...More"
11,3rd Time visiting this place while visiting CA. Meat is incredible. Tried a few different types of meat and the beef is always the best. I do wish you had your own dipping cup however. Tried the Chili this time as well and itï¿½ï¿½??worth...More
12,"Historical LA eatery with fresh sandwiches, soups, and salads. Comfortable atmosphere, good food, customers that bring to life the wonderful vibe of everyone is welcome and they even have Free parking ï¿½ìœ‘ï¿?"
13,"Our family has been going since my mom moved to CA in 1935 and my father before that. The sawdust on the floor, the phone booths, the candy counter, the brick walls , the pics on the wall, the water fountain, nothing has changed except...More"
14,Just getting in line to order your food is an experience. The servers are so nice and the food is yummy. How can you not like meat and bread dipped in juice!
15,"Wooden booths and saw dust on the floors...and, great food"
16,"Phillipe was in LA long before I came, and will probably be there long after I'm gone. It's history is shown on the walls in the great old photos, and the quality -- and quantity -- of it's food is evidenced by the lines you'll...More"
17,"A local friend suggested this as a great, unique, local spot to eat at on my vacation. I'm a fan of the French Dip sandwich so after a day at Universal Studios Hollywood we headed over here. While the area of town seemed a little...More"
18,this place is amazing. great food and ambiance. the staff is super friendly and the spicy mustard is to die for
19,"We ""had to try"" Philippe's sandwich. There's so much hype about it and we saw it featured on Food Network. Well I've had much better (often) with juicier meat and fresher bread. Sadly, this was a surprisingly mediocre experience."
20,"Great for French dip beef sandwiches. Be sure to add the hot mustard, but not too much unless you want to clear out your sinuses! I tried the NY pastrami today and it was pretty tasty too."
21,This is a most go to for locals and anyone passing through LA. My grandparents and parents having been eating here since they opened way back when. Now I enjoy taking my 11 year old here when ever we are driving through LA. I always...More
22,Fairly typical LA must go restaurant - It's not about the food
23,"I go to Philipe's with my dad about once a year. It is a great throwback of an LA that hasn't been for a long time, like The Pantry or Cantor's. I would not go there for the food unless you like the 50's cafeteria...More"
24,"This place has served a cross-section of LA for over a century. I wasn't there at the beginning (!), but I have been going to Philippe's for 15 years. The quality has remained consistently high and very reasonably priced. My favorite au jus sandwich is...More"
25,"When I drive to Los Angeles this is a ""must do"" for dinner or lunch. It is not exactly ""on the way"" to the convention center or even to my hotel but the food and the price and the open table atmosphere AND even the...More"
26,"Has been there forever (or so it seems), just a short walk from Union Station or Olvera Street. Excellent food and relatively cheap to boot. Long community tables. No reservations accepted or needed. Scope out a bench, stand in line and order up! There is...More"
27,PASTRAMI FTW The pastrami is bomb here! Tried it for the first time and was pleasantly surprised. See photo for proof. Love their Cole slaw hubby loves their Mac salad. Everything is good here. Don't forget about the hot mustard! Btw their restroom is squeaky...More
28,"While visiting my cousins in the L.A. area, we really wanted to go downtown & eat at Philippe's...and we all really enjoyed our dining experience! After what seemed like an eternity on L.A.'s infamous freeways, we were finally on downtown streets (complete with roadblocks on...More"
29,"I agree it is hard to find a better lamb dip sandwich. However, the better deals are at breakfast. Nice platters for less than you would expect. Salsa that will bring tears to your eyes. Get a side of slaw or a slab of apple...More"
30,This restaurant is a classic! A true national treasure in my book. I love the lamb - double dip. Just perfect flavor and texture. The hot mustard is soooo addictive. Wow! Love this for lunch with its generous free parking lot.
